date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-08-02T08:46:09+00:00,kraken,LWWXVQ-3WHOV-PIITXI,fiat_withdrawal,EUR,2733.29,1,EUR,,0,Kraken withdrawal (fiat)
2024-08-04T21:20:56+00:00,kraken,LHBAJW-XMGUD-RDMJ35,earn_reward,DOT,0.0036825188,0,,,0,Kraken earn reward (crypto)
2024-08-11T21:20:48+00:00,kraken,LIHLBP-NA66D-HN2SBQ,earn_reward,DOT,0.0035594281,0,,,0,Kraken earn reward (crypto)
2024-08-16T09:45:17+00:00,kraken,L7IUMT-FMWUC-SZKI3T,deposit,USDC,1499.9963,0,,,0,Kraken deposit (stable_coin)
2024-08-16T10:19:50+00:00,binance,,deposit,USDC,0.01,0,,,0,Binance Deposit
2024-08-16T10:24:14+00:00,binance,,deposit,USDC,1.5E+3,0,,,0,Binance Deposit
2024-08-16T10:25:33+00:00,binance,,sell,USDC,1500.01,0,,EUR,1357.95233507,Binance Convert
2024-08-16T10:36:32+00:00,kraken,LNFZEU-AKEM5-2K2ILC,sell,USDC,1499.9963,13.45,EUR,EUR,1358.72,Kraken Trade
2024-08-16T10:37:18+00:00,binance,,fiat_withdrawal,EUR,1357.95,0,,,0,Binance Fiat Withdraw
2024-08-16T10:37:21+00:00,kraken,LGSYRG-OHDR7-3QV72J,fiat_withdrawal,EUR,1344.27,1,EUR,,0,Kraken withdrawal (fiat)
2024-08-18T21:20:40+00:00,kraken,LV2FIH-LEIR3-KKU7FP,earn_reward,DOT,0.0035759179,0,,,0,Kraken earn reward (crypto)
2024-08-23T05:07:40+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-08-25T21:20:27+00:00,kraken,L7WAAG-HAFT2-VLDYM3,earn_reward,DOT,0.0036228212,0,,,0,Kraken earn reward (crypto)
2024-09-01T21:20:42+00:00,kraken,L3N44F-X5GYF-WQTEUV,earn_reward,DOT,0.003521756,0,,,0,Kraken earn reward (crypto)
2024-09-03T09:04:23+00:00,binance,,deposit,USDC,2994.9102,0,,,0,Binance Deposit
2024-09-03T09:04:23+00:00,binance,,deposit,USDC,0.1,0,,,0,Binance Deposit
2024-09-03T10:32:07+00:00,binance,,sell,USDC,2862.21357,2.464965,EUR,EUR,2594.7,Binance Trade
2024-09-03T10:32:18+00:00,binance,,sell,USDC,132.70293,0.1203,EUR,EUR,120.3,Binance Trade
2024-09-03T10:38:56+00:00,binance,,fiat_withdrawal,EUR,2712.42,0,,,0,Binance Fiat Withdraw
2024-09-08T21:21:05+00:00,kraken,LE4N5N-BHUJU-ORLZIW,earn_reward,DOT,0.0033745864,0,,,0,Kraken earn reward (crypto)
2024-09-15T21:20:36+00:00,kraken,LYDC4D-KE6RU-LSLTN7,earn_reward,DOT,0.0035734441,0,,,0,Kraken earn reward (crypto)
2024-09-17T09:31:02+00:00,binance,,deposit,USDC,0.1,0,,,0,Binance Deposit
2024-09-17T09:31:02+00:00,binance,,deposit,USDC,1969.903599,0,,,0,Binance Deposit
2024-09-17T09:35:38+00:00,binance,,sell,USDC,1970.097299,0,,EUR,1758.91175466,Binance Convert
2024-09-17T09:41:39+00:00,binance,,fiat_withdrawal,EUR,1758.91,0,,,0,Binance Fiat Withdraw
2024-09-22T21:20:54+00:00,kraken,LEFQAE-KZBNY-TXKPYC,earn_reward,DOT,0.0035251903,0,,,0,Kraken earn reward (crypto)
